Employee Name,Building,Department,Birth Date,Hire Date,Years,Compensation,Job Rating,Benefits
"Buchanan, Dennis",WEST,ADC,30759,41069,9,69350,5,DMR
"Perez, William",WEST,ADC,26832,38823,15,58810,1,——R
"Potter, Dawn",WATSON,ADC,34114,42099,6,96140,2,D—R
"Estes, Mary",WEST,ADC,23760,35942,23,61770,4,———
"Jefferson, Elaine",TAFT,ADC,26139,36498,21,47100,3,———
"Bass, Justin",MAIN,Admin Training,27051,36728,20,87890,5,D——
"O'Neal, William",WEST,Admin Training,26254,39429,13,101230,3,D—R
"Burnett, Kevin",NORTH,Admin Training,24466,36483,21,105280,5,—MR
"Chan, Todd",NORTH,Admin Training,29168,38116,17,80300,1,D—R
"Henry, Craig",SOUTH,Admin Training,26474,38394,16,112600,2,D——
"Cortez, Jack",TAFT,Admin Training,26947,38795,15,95160,5,———
"Graham, David",NORTH,Admin Training,30220,38912,15,99200,1,DMR
"Weeks, Troy",WATSON,Admin Training,28938,39416,13,98790,4,——R
"Navarro, Marc",TAFT,Admin Training,32280,40056,11,40630,4,——R
"May, Steve",MAIN,Admin Training,32429,40794,9,65140,4,——R
"Lamb, John",WATSON,Admin Training,31452,41721,7,49720,3,——R
"Thompson, John",WEST,Admin Training,28968,42356,5,76940,5,D—R
"Hoover, Evangeline",MAIN,Admin Training,27688,36126,22,40190,1,——R
"Hoover, Evangeline",MAIN,Admin Training,27688,36126,22,40190,1,——R
"Butler, Roy",TAFT,Admin Training,28844,38869,15,20120,1,DM—
"Blair, Sperry",MAIN,Admin Training,27314,40434,10,23410,3,———
"Hess, Brian",SOUTH,Admin Training,23433,36134,22,38370,3,—M—
"Olson, Melanie",WEST,Admin Training,33905,42778,4,14040,4,D——
"Giles, Kathleen",WEST,Audit Services,25834,36203,22,,2,———
"Nicholson, Lee",NORTH,Audit Services,24786,36953,20,96940,1,—M—
"Watkins, Gary",MAIN,Audit Services,29486,38111,17,65160,2,D—R
"Riley, David",NORTH,Audit Services,30182,38866,15,63160,1,D—R
"Banks, Ryan",WEST,Audit Services,29502,39271,14,74500,1,———
"Huffman, Ignacio",WEST,Audit Services,29907,39545,13,44400,3,DM—
"Collins, Michael",TAFT,Audit Services,29795,40703,10,40060,1,———
"Mosley, Michael",WEST,Audit Services,33150,42758,4,67560,3,DMR
"Espinoza, Derrell",WEST,Audit Services,29233,38216,16,14550,1,——R
"Ramirez, Keith",MAIN,Audit Services,27032,38326,16,26440,4,D—R
"McConnell, Justin",SOUTH,Compliance,29555,38047,17,76730,2,DMR
"Johnston, Daniel",NORTH,Compliance,24735,36365,21,61010,3,DM—
"Love, Danny",NORTH,Compliance,33388,42069,6,60850,3,D—R
"Holmes, Tito",MAIN,Compliance,30742,42804,4,37860,1,DMR
"English, David",MAIN,Engineering/Maintenance,26672,35880,23,56680,1,—M—
"English, David",MAIN,Engineering/Maintenance,26672,35880,23,56680,1,—M—
"Guerrero, Laura",TAFT,Engineering/Maintenance,24349,36330,22,85090,1,——R
"Byrd, Asa",WEST,Engineering/Maintenance,24359,36633,21,109590,4,D——
"Horn, George",NORTH,Engineering/Maintenance,25241,37303,19,61600,3,———
"Beasley, Timothy",SOUTH,Engineering/Maintenance,24494,37771,18,84990,2,—M—
"Walsh, Matthew",WEST,Engineering/Maintenance,24666,37812,18,66730,2,—MR
"Clarke, Dennis",NORTH,Engineering/Maintenance,28160,37907,17,117890,5,DMR
"Sloan, Cindy",MAIN,Engineering/Maintenance,28419,38157,17,98660,5,——R
"Haynes, Ernest",NORTH,Engineering/Maintenance,27229,38221,16,111140,2,DM—
"Cummings, Jose",MAIN,Engineering/Maintenance,25905,38500,16,112830,5,D—R
"Stevenson, Michael",MAIN,Engineering/Maintenance,26543,38554,15,83610,3,DM—
"Marshall, Anita",WATSON,Engineering/Maintenance,30657,38592,15,116160,5,DM—
"Houston, Mark",SOUTH,Engineering/Maintenance,28478,38690,15,40050,3,—MR
"Hughes, Kevin",WEST,Engineering/Maintenance,29304,38739,15,101550,1,—MR
"Garrison, Christopher",WEST,Engineering/Maintenance,30329,39122,14,31100,3,—MR
"Jones, John",WEST,Engineering/Maintenance,30223,41622,7,109650,3,D—R
"Guerra, Karen",WEST,Engineering/Maintenance,30136,41692,7,82040,4,—MR
"Spears, Melanie",SOUTH,Engineering/Maintenance,33503,42574,4,34040,3,—M—
"Hamilton, Theo",NORTH,Engineering/Maintenance,32046,42611,4,104890,5,——R
"McDowell, Scott",WEST,Engineering/Maintenance,26163,36000,22,65750,2,—MR
"Stanley, Eric",MAIN,Engineering/Maintenance,24301,36179,22,113410,4,D—R
"Dickerson, Lincoln",MAIN,Engineering/Maintenance,28210,36227,22,81050,5,—M—
"Smith, Koleen",NORTH,Engineering/Maintenance,27245,36398,21,42020,3,——R
"Kim, Deborah",WEST,Engineering/Maintenance,23952,36438,21,93920,2,—MR
"Park, Timothy",NORTH,Engineering/Maintenance,27278,36547,21,94600,4,——R
"Hodges, Lisa",NORTH,Engineering/Maintenance,28173,37126,19,98560,5,———
"Hernandez, Glenn",MAIN,Engineering/Maintenance,28553,37484,18,42120,5,———
"Green, Kim",WATSON,Engineering/Maintenance,26730,37648,18,89610,5,—MR
"Wilkins, Jesse",MAIN,Engineering/Maintenance,25861,37738,18,102100,5,DMR
"Armstrong, David",TAFT,Engineering/Maintenance,29680,37849,17,108400,5,DMR
"Hale, Deon",NORTH,Engineering/Maintenance,26538,37859,17,102410,3,D——
"Taylor, Hector",WEST,Engineering/Maintenance,27055,38319,16,54010,4,—MR
"Estrada, Joan",NORTH,Engineering/Maintenance,28335,38481,16,80560,3,DM—
"Estrada, Joan",NORTH,Engineering/Maintenance,28335,38481,16,80560,3,DM—
"Lucas, John",WEST,Engineering/Maintenance,25541,38617,15,45910,4,———
"Baker, Barney",NORTH,Engineering/Maintenance,31275,39158,14,42370,1,——R
"West, Jeffrey",NORTH,Engineering/Maintenance,28812,39660,12,35880,4,—M—
"Wyatt, Kelly",NORTH,Engineering/Maintenance,28813,39670,12,37820,4,DM—
"Middleton, Jen",MAIN,Engineering/Maintenance,27367,39828,12,,2,———
