User ID,Password,Country,Membership Status,Revenue,User Status
David-428,sTUk8cA2,USA,unpaid,10,LOV29
Vicki-305,   375fsA6Q,UK,trial,,NON274
Juan-481,    syY5XETJ,New Zealand,trial,,MAD43
Michael-273,    9UhPWXK3,USA,unpaid,50,LOV167
Marie-274, Js9AnphP,New Zealand,trial,,LOV94
Kevin-482,   zj5FDUsK,Ireland,unpaid,30,LOV127
Zachary-189,fHqAW3Nw,UK,unpaid,40,LOV79
Lara-333, WUwfKa5G,Canada,trial,,HAP71
Randi-129, 4pGrtfdU,New Zealand,paid,40,LOV161
Barbara-487,    b6mrGhXM,Australia,trial,,SAD97
Stephen-89,   RCsfyHm6,New Zealand,trial,,HAP102
Jimmy-390,   6rHDL4em,Australia,unpaid,50,MAD144
Michael-71,    dhjPbz8C,UK,trial,,LOV181
Janene-652, 5khLbF6y,Canada,trial,,LOV49
Michael-580,9Bn82Fb7,United States of America,unpaid,25,MAD75
Kenneth-315, rUn6w4df,USA,unpaid,15,NON25
Dominic-491, r2ZSNvwX,Canada,paid,20,MAD124
Michelle-291,    AXEge4Lp,USA,paid,45,LOV178
Rolin-200,   J4XajZyG,United States of America,unpaid,40,NON83
Ed-344,   4jmgv87X,Canada,paid,65,MAD161
Michelle-225,SL3npB7x,New Zealand,unpaid,25,MAD88
Lisa-15,    2gJXAZzf,Australia,unpaid,45,LOV162
Carol-421,   qM29cU3j,Australia,unpaid,20,HAP179
Rajean-515,8hSusAyx,Canada,trial,,SAD45
Charles-379,AXjgpJ8h,Ireland,unpaid,5,LOV115
Daniel-392,2Xv6VBmC,Australia,trial,,SAD64
Anthony-656, 5rj9kxPX,United States of America,trial,,MAD55
John-357, x9Q5ETq4,United States of America,unpaid,15,MAD35
Bryan-469,   S2jYVDkZ,United Kingdom,trial,,LOV131
Robert-439,    Je28ayb4,UK,unpaid,20,MAD143
Barbara-309,    Tek25GQt,Canada,unpaid,15,MAD100
Claudia-631,   Ry8zuCYB,Ireland,paid,20,NON112
James-311,   jgsBR5qP,United Kingdom,trial,,NON177
Matthew-522,   gvDwsb53,United States of America,paid,25,LOV140
Barbara-108,PGwtvp6N,Canada,unpaid,25,SAD58
Troy-150, smUb8t5q,Australia,trial,,LOV87
Sheryl-638,kfX4gwNR,Australia,unpaid,5,MAD186
Jessica-527,    Ldnh23Gx,New Zealand,paid,30,MAD112
Kristin-471,   k9vLnMs7,USA,unpaid,40,HAP52
Heidi-591,    cT3rEQMy,USA,paid,55,SAD12
Ann-653,    eKXMz468,USA,unpaid,25,NON85
Michael-365,VBkYM5Gw,Canada,paid,20,LOV48
Corey-246,3HpfNAqQ,Australia,trial,,NON50
Gabriel-536, 2gkjXJTn,Ireland,trial,,HAP59
Chad-524,3yJqDenP,Australia,trial,,SAD111
Brenda-562, W8jF3ytV,Ireland,trial,,NON197
Craig-171, 2rhgp3uX,UK,unpaid,40,HAP54
Christopher-367,   v74XxbJV,Australia,unpaid,45,SAD64
Rick-544,    q87hvmAN,USA,unpaid,45,SAD98
William-465, LPmH7jKF,Canada,trial,,HAP98
Deborah-334,    96CUZQvY,UK,paid,50,MAD34
Cleatis-569,   yJbt5LST,USA,trial,,HAP37
Lynne-251,MUbWG4n2,Canada,paid,50,HAP167
Dominic-174,    tcKFV8Zs,Australia,unpaid,15,NON83
Rebecca-125,Tsfu9Fvb,United States of America,paid,45,HAP7
Debra-468,ZunUeNE3,United Kingdom,trial,,LOV69
